TrialTypes,Stimuli,Durations,ExtraArgs
0 1,media/images/PI/8130_PoleVaulter.gif media/images/NI/3130_Mutilation.gif,10 0 6 0,media/sounds/IADSPA/352_SportsCrowd.aiff media/sounds/Freesound/mandying.aiff
1 0,media/images/NI/3110_BurnVictim.gif media/images/PI/8040_Diver.gif,8 4 0 -4,media/sounds/IADSNA/277_FemScream3.aiff media/sounds/IADSPA/351_Applause.aiff
0 0,media/images/PI/5455_Cockpit.gif media/images/PI/5455_Cockpit.gif,4 0 2 0,media/sounds/Freesound/atc6.aiff media/sounds/Freesound/atc6.aiff
0 1,media/images/PI/2058_Baby.gif media/images/NI/3350_Infant.gif,7 0 2 -4,media/sounds/IADSPA/111_MusicBox.aiff media/sounds/Freesound/babycry.aiff
1 0,media/images/NI/3530_Attack.gif media/images/PI/2370_ThreeMen.gif,2 6 0 4,media/sounds/IADSNA/286_Victim.aiff media/sounds/IADSPA/221_MaleLaugh.aiff
1 0,media/images/NI/3150_Mutilation.gif media/images/PI/7503_carddealer.gif,9 2 0 -4,media/sounds/Freesound/panic&pain.aiff media/sounds/IADSPA/361_Restaurant.aiff
1 0,media/images/NI/9400_Soldier.gif media/images/PI/2340_Family.gif,1 0 0 0,media/sounds/IADSNA/706_War.aiff media/sounds/Freesound/Manlaughing_hard.aiff
0 0,media/images/PI/5201_Nature.gif media/images/PI/5201_Nature.gif,10 0 2 -4,media/sounds/IADSPA/152_Tropical.aiff media/sounds/IADSPA/152_Tropical.aiff
0 1,media/images/PI/4700_Couple.gif media/images/NI/6350_Attack.gif,8 0 6 -4,media/sounds/Freesound/mansighs.aiff media/sounds/IADSNA/285_Attack2.aiff
0 1,media/images/PI/1340_Women.gif media/images/NI/2205_Hospital.gif,11 0 2 0,media/sounds/IADSPA/226_Laughing.aiff media/sounds/IADSNA/287_CardiacArrest.aiff
0 0,media/images/PI/2372_Woman.gif media/images/PI/2372_Woman.gif,6 0 2 0,media/sounds/Freesound/chalkwriting.aiff media/sounds/Freesound/chalkwriting.aiff
1 0,media/images/NI/9252_DeadBody.gif media/images/PI/7496_Street.gif,7 6 0 0,media/sounds/IADSNA/292_MaleScream.aiff media/sounds/Freesound/Tibetstreet.aiff
0 1,media/images/PI/2208_Bride.gif media/images/NI/9921_Fire.gif,3 0 4 -4,media/sounds/IADSPA/820_FunkMusic.aiff media/sounds/Freesound/Hellfire.aiff
1 0,media/images/NI/9421_Soldier.gif media/images/PI/2501_Couple.gif,9 2 0 0,media/sounds/AudioMicro/ManCrying.aiff media/sounds/Freesound/Gullsbythesea.aiff
0 1,media/images/PI/4603_Romance.gif media/images/NI/6560_Attack.gif,5 0 0 -4,media/sounds/IADSPA/230_Giggling.aiff media/sounds/IADSNA/279_Attack1.aiff
1 0,media/images/NI/9410_Soldier.gif media/images/PI/2150_Baby.gif,4 6 0 0,media/sounds/Freesound/panic&pain.aiff media/sounds/IADSPA/111_MusicBox.aiff
0 0,media/images/PI/2515_Harvest.gif media/images/PI/2515_Harvest.gif,2 2 0 -4,media/sounds/IADSPA/810_Beethoven.aiff media/sounds/IADSPA/810_Beethoven.aiff
0 1,media/images/PI/8340_Plane.gif media/images/NI/9050_PlaneCrash.gif,7 0 4 0,media/sounds/Freesound/Propeller.aiff media/sounds/IADSNA/501_PlaneCrash.aiff
0 1,media/images/PI/2560_Picnic.gif media/images/NI/3064_Mutilation.gif,1 0 6 4,media/sounds/IADSPA/230_Giggling.aiff media/sounds/IADSNA/276_FemScream2.aiff
1 0,media/images/NI/9910_AutoAccident.gif media/images/PI/2389_Teens.gif,2 0 0 -4,media/sounds/IADSNA/424_Carwreck.aiff media/sounds/IADSPA/815_RocknRoll.aiff
0 1,media/images/PI/2485_Man.gif media/images/NI/3080_Mutilation.gif,5 0 2 0,media/sounds/IADSPA/811_Bach.aiff media/sounds/IADSNA/287_CardiacArrest.aiff
0 1,media/images/PI/2240_NeutChild.gif media/images/NI/2800_SadChild.gif,9 0 0 0,media/sounds/IADSPA/225_ClapGame.aiff media/sounds/Freesound/three_chords.aiff
0 0,media/images/PI/8420_Tubing.gif media/images/PI/8420_Tubing.gif,8 2 0 0,media/sounds/SimplyTheBest/river.aiff media/sounds/SimplyTheBest/river.aiff
1 0,media/images/NI/9433_DeadMan.gif media/images/PI/8461_HappyTeens.gif,4 6 0 -4,media/sounds/Freesound/Fall_Screaming.aiff media/sounds/IADSPA/226_Laughing.aiff
1 0,media/images/NI/3061_Mutilation.gif media/images/PI/2030_Woman.gif,10 0 0 4,media/sounds/IADSNA/276_FemScream2.aiff media/sounds/Freesound/FemaleLaughter1.aiff
0 1,media/images/PI/2216_Children.gif media/images/NI/9520_Kids.gif,3 0 2 4,media/sounds/IADSPA/112_KidsinPark.aiff media/sounds/IADSNA/712_Buzzer.aiff
0 1,media/images/PI/2020_Adult.gif media/images/NI/3060_Mutilation.gif,11 0 4 4,media/sounds/Freesound/Manlaughing_hard.aiff media/sounds/Freesound/allinpain.aiff
1 0,media/images/NI/9420_Soldier.gif media/images/PI/8080_Sailing.gif,10 2 0 4,media/sounds/IADSNA/706_War.aiff media/sounds/SimplyTheBest/oceanwaves.aiff
0 1,media/images/PI/4533_AttractiveMan.gif media/images/NI/3120_DeadBody.gif,1 0 0 4,media/sounds/IADSPA/815_RocknRoll.aiff media/sounds/Freesound/KnifeSharpen.aiff
1 0,media/images/NI/3010_mutilation.gif media/images/PI/2010_Adult.gif,7 4 0 0,media/sounds/Freesound/KnifeSharpen.aiff media/sounds/Freesound/manlaugh.aiff
0 0,media/images/PI/7620_Jet.gif media/images/PI/7620_Jet.gif,3 0 2 4,media/sounds/IADSPA/400_Jet.aiff media/sounds/IADSPA/400_Jet.aiff
1 0,media/images/NI/2352_2_BloodyKiss.gif media/images/PI/2352_1_Kiss.gif,2 6 0 -4,media/sounds/IADSNA/277_FemScream3.aiff media/sounds/Freesound/FemaleLaughter1.aiff
1 0,media/images/NI/3230_DyingMan.gif media/images/PI/2510_ElderlyWoman.gif,4 4 0 -4,media/sounds/Freesound/EKG.aiff media/sounds/IADSPA/151_Cardinal.aiff
1 0,media/images/NI/9911_CarAccident.gif media/images/PI/7140_Bus.gif,9 0 0 -4,media/sounds/IADSNA/424_CarWreck.aiff media/sounds/IADSPA/820_FunkMusic.aiff
0 1,media/images/PI/2620_Woman.gif media/images/NI/2141_GrievingFem.gif,8 0 4 -4,media/sounds/IADSPA/816_Guitar.aiff media/sounds/AudioMicro/WomanCrying.aiff
0 0,media/images/PI/2791_Balloons.gif media/images/PI/2791_Balloons.gif,5 0 2 -4,media/sounds/Freesound/Organ2.aiff media/sounds/Freesound/Organ2.aiff
0 1,media/images/PI/8380_Athletes.gif media/images/NI/6821_Gang.gif,6 0 2 -4,media/sounds/IADSPA/351_Applause.aiff media/sounds/IADSNA/292_MaleScream.aiff
1 0,media/images/NI/3301_InjuredChild.gif media/images/PI/2250_NeutBaby.gif,5 4 0 4,media/sounds/AudioMicro/WomanCrying.aiff media/sounds/Freesound/GirlLaugh.aiff
0 1,media/images/PI/2500_Man.gif media/images/NI/3062_Mutilation.gif,7 0 0 -4,media/sounds/IADSPA/270_Whistling.aiff media/sounds/Freesound/Anguish.aiff
1 0,media/images/NI/3102_BurnVictim.gif media/images/PI/8280_Diver.gif,3 2 0 -4,media/sounds/Freesound/Anguish.aiff media/sounds/PartnersinRhyme/Cheer.aiff
0 1,media/images/PI/8497_CarnivalRide.gif media/images/NI/3500_Attack.gif,8 0 6 0,media/sounds/IADSPA/360_RollerCoaster.aiff media/sounds/IADSNA/286_Victim.aiff
0 0,media/images/PI/1540_Cat.gif media/images/PI/1540_Cat.gif,4 2 0 4,media/sounds/Freesound/catpurring.aiff media/sounds/Freesound/catpurring.aiff
1 0,media/images/NI/3181_BatteredFem.gif media/images/PI/2383_Secretary.gif,9 0 0 0,media/sounds/IADSNA/290_Fight.aiff media/sounds/IADSPA/705_RotaryDial.aiff
0 0,media/images/PI/2510_ElderlyWoman.gif media/images/PI/2510_ElderlyWoman.gif,6 2 0 -4,media/sounds/Freesound/foxtrot.aiff media/sounds/Freesound/foxtrot.aiff
0 1,media/images/PI/8050_Rower.gif media/images/NI/9265_HungMan.gif,10 0 4 0,media/sounds/Freesound/rower.aiff media/sounds/Freesound/mandying.aiff
0 1,media/images/PI/8130_PoleVaulter.gif media/images/NI/3130_Mutilation.gif,11 0 6 -4,media/sounds/IADSPA/352_SportsCrowd.aiff media/sounds/Freesound/mandying.aiff
1 0,media/images/NI/3110_BurnVictim.gif media/images/PI/8040_Diver.gif,2 2 0 0,media/sounds/IADSNA/277_FemScream3.aiff media/sounds/IADSPA/351_Applause.aiff
